acct	sched_cd	Div_ord	Type_Interest	Interest_Percent
0136601	E	008383	ROYALTY	0.001259
0136608	E	008383	ROYALTY	0.000864
0136988	E	008388	ROYALTY	0.002500
0136995	E	008388	ROYALTY	0.003125
0137002	E	008388	ROYALTY	0.013020
0137005	E	008388	ROYALTY	0.001563
0137006	E	008388	ROYALTY	0.000781
0137007	E	008388	ROYALTY	0.000781
0137008	E	008388	ROYALTY	0.002500
0137011	E	008388	ROYALTY	0.002344
0137012	E	008388	ROYALTY	0.004687
0137014	E	008388	ROYALTY	0.002500
0137016	E	008388	ROYALTY	0.016601
0137019	E	008388	ROYALTY	0.002561
0137020	E	008388	ROYALTY	0.006250
0137025	E	008388	ROYALTY	0.001180
0137571	E	009415	OVERRIDE	0.001953
0137591	E	009415	ROYALTY	0.041667
0137596	E	009415	OVERRIDE	0.001953
0137599	E	009415	OVERRIDE	0.001953
0137853	E	006895	ROYALTY	0.004596
0145740	E	007666	ROYALTY	0.014988
0145756	E	007666	ROYALTY	0.003314
0145768	E	007666	ROYALTY	0.001657
0145770	E	007666	ROYALTY	0.004996
0145779	E	007666	ROYALTY	0.013324
0145795	E	007666	ROYALTY	0.006637
0145797	E	007666	ROYALTY	0.001289
0145800	E	007666	ROYALTY	0.001160
0145804	E	007666	ROYALTY	0.011266
0145805	E	007666	ROYALTY	0.011266
0149412	E	008548	OVERRIDE	0.007812
0149413	E	008548	ROYALTY	0.001465
0149442	E	008548	ROYALTY	0.003515
0149456	E	008548	ROYALTY	0.003515
0149469	E	008548	OVERRIDE	0.054688
0150073	E	004345	ROYALTY	0.003064
0150076	E	004345	ROYALTY	0.004340
0150088	E	004345	ROYALTY	0.001532
0150114	E	004345	ROYALTY	0.001660
0150116	E	004345	ROYALTY	0.001190
0150120	E	004345	ROYALTY	0.001073
0150360	E	006792	ROYALTY	0.008669
0150362	E	006792	ROYALTY	0.015481
0150365	E	006792	ROYALTY	0.015481
0150750	E	091313	ROYALTY	0.015626
0150752	E	091313	ROYALTY	0.007813
0150766	E	091313	ROYALTY	0.010416
0150784	E	091313	ROYALTY	0.010417
0150794	E	004365	ROYALTY	0.028321
0150796	E	004365	ROYALTY	0.015625
0150798	E	004365	ROYALTY	0.012586
0150799	E	004365	ROYALTY	0.012587
0150800	E	004365	ROYALTY	0.012587
0150808	E	004368	ROYALTY	0.015625
0150810	E	004368	ROYALTY	0.046876
0150811	E	004368	ROYALTY	0.046875
0150813	E	004368	ROYALTY	0.003472
0150814	E	004368	ROYALTY	0.003472
0150815	E	004368	ROYALTY	0.003472
0150826	E	004374	ROYALTY	0.023437
0150827	E	004374	ROYALTY	0.023437
0150829	E	004374	ROYALTY	0.023437
0151301	E	010496	ROYALTY	0.001322
0151304	E	010496	WORKING	0.851971
