RP_TYPE	tax_dist	name	prop	curr	ABT	DIS	ERE	ESP	GCC	HIS	MCL	OVR	PAR	PDS	PMD	POL	POV	PRO	RES	SOL	SPV	SUR	TOT	UND	V11	V12	V13	V14	V21	V22	V23	V24	VS1	VS2	VS3	VS4
Personal	038	MONTGOMERY COUNTY	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	039	WALLER COUNTY	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	040	HARRIS COUNTY	0.392240	0.388050	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	041	HARRIS CO FLOOD CNTRL	0.029220	0.029230	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	042	PORT OF HOUSTON AUTHY	0.016360	0.020540	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	043	HARRIS CO HOSP DIST	0.192160	0.192160	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	044	HARRIS CO EDUC DEPT	0.006050	0.006581	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	045	LONE STAR COLLEGE SYS	0.110100	0.117600	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	046	LEE JR COLLEGE DIST	0.221200	0.252000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	047	SAN JACINTO COM COL D	0.170800	0.176277	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	048	HOU COMMUNITY COLLEGE	0.092220	0.092220	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	051	CITY OF BAYTOWN	0.787030	0.787030	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	052	CITY OF BELLAIRE	0.375900	0.399900	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	053	BUNKER HILL VILLAGE	0.264862	0.273040	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	054	CITY OF DEER PARK	0.705000	0.705000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	055	HEDWIG VILLAGE	0.215076	0.222995	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	056	CITY OF EL LAGO	0.464850	0.477760	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	057	CITY OF GALENA PARK	1.037450	1.037450	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	058	CITY OF FRIENDSWOOD	0.579700	0.585100	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	059	CITY OF PEARLAND	0.652600	0.665100	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	060	HILSHIRE VILLAGE	0.552646	0.637393	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	061	CITY OF HOUSTON	0.638750	0.638750	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	062	CITY OF HUMBLE	0.200000	0.200000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	063	CITY OF KATY	0.593720	0.593720	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	064	MISSOURI CITY	0.528400	0.528400	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	065	HUNTERS CREEK VILLAGE	0.185000	0.185000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	066	CITY OF JACINTO CITY	0.721076	0.801526	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	067	CITY OF LEAGUE CITY	0.630000	0.616000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	068	CITY OF MEADOWS	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	070	JERSEY VILLAGE	0.742525	0.742500	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
