Code	Description
790	PRESTONWOOD FOREST UD
801	REID ROAD MUD 1
802	REID ROAD MUD 2
803	RENN ROAD MUD
804	RICEWOOD MUD
806	ROLLING CREEK UD
807	ROLLING FORK PUD
809	ROYALWOOD MUD
810	RICHEY ROAD MUD
811	REMINGTON MUD 1
822	SAGEMEADOW UD
823	SEQUOIA ID
824	SHASLA PUD
825	SOUTHWEST HC MUD 1
826	SPANISH COVE PUD
827	SPENCER ROAD PUD
829	SPRING CRK FOREST PUD
831	SPRING MEADOWS MUD
832	SPRING WEST MUD
833	SHELDON ROAD MUD
841	TATTOR ROAD MD
842	TERRANOVA WEST MUD
844	HC MUD 368
846	TIMBERLAKE ID
847	TIMBER LANE UD
848	TRAIL OF LAKES MUD
850	HC ID 3
851	WESTADOR MUD
861	WEST HC MUD 1
862	WEST HC MUD 2
864	WEST HC MUD 4
865	WEST HC MUD 5
866	WEST HC MUD 6
867	WEST HC MUD 7
869	WEST HC MUD 9
870	WEST HC MUD 10
871	WEST HC MUD 11
874	WEST HC MUD 14
875	WEST HC MUD 15
876	WEST HC MUD 016
877	WEST HC MUD 17
879	WEST HC MUD 21
893	W KEEGANS BAYOU ID
894	WESTLAKE MUD 1
895	WEST MEMORIAL MUD
896	WESTON MUD
897	WEST PARK MUD
899	WHITE OAK BEND MUD
901	WINDFERN FOREST UD
902	WOODCREEK MUD
907	NORTHPOINTE WCID
910	HARRIS-FT BEND CO MUD 4
911	CINCO MUD 3
913	CINCO MUD 6
914	CINCO MUD 9
915	HC-FT BEND MUD 5
916	FT BEND WCID 2
917	WILLOW FORK DRNG DIST
